path,split,label,class_id,width,height,status
data\isl_alphabet_digits\train\0\Output Image -201.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (494).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -352.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -291.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (200).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (480).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (439).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (307).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -87.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -329.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (207).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (152).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -226.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (220).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -81.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (356).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -396.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -482.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -185.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (43).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Sign 0 (381).jpeg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -124.jpg,train,0,26,400,400,accepted
data\isl_alphabet_digits\train\0\Output Image -237.jpg,train,0,26,400,400,accepted
