archive,video_count,required_bytes,required_mb,required_gb
Adjectives_1of8.zip,57,709719260,676.8410301208496,0.6609775684773922
Adjectives_4of8.zip,39,478601696,456.4301452636719,0.44573256373405457
Adjectives_5of8.zip,38,456923044,435.7557716369629,0.4255427457392216
Adjectives_6of8.zip,39,467184524,445.5418815612793,0.4350994937121868
Adjectives_7of8.zip,19,227182224,216.65785217285156,0.21157993376255035
Adjectives_8of8.zip,19,262510420,250.34944534301758,0.2444818802177906
Animals_1of2.zip,56,1017769808,970.6209259033203,0.9478719979524612
Clothes_1of2.zip,19,264928907,252.65589427947998,0.24673427175730467
Clothes_2of2.zip,36,586610513,559.4353799819946,0.5463236132636666
Colours_1of2.zip,18,226925269,216.4128007888794,0.21134062577039003
Colours_2of2.zip,37,428181458,408.34565925598145,0.3987750578671694
Days_and_Time_1of3.zip,13,146146696,139.37635040283203,0.13610971719026566
Days_and_Time_2of3.zip,14,140277998,133.7795238494873,0.13064406625926495
Days_and_Time_3of3.zip,14,145671900,138.9235496520996,0.13566752895712852
Electronics_1of2.zip,27,327932075,312.7403974533081,0.3054105443879962
Greetings_1of2.zip,39,550550376,525.0457534790039,0.5127399936318398
Greetings_2of2.zip,20,280178992,267.1995086669922,0.26093702018260956
Home_1of4.zip,13,202338684,192.96520614624023,0.18844258412718773
Home_2of4.zip,13,142368491,135.77317333221436,0.13259098958224058
Home_3of4.zip,14,164450533,156.83224964141846,0.1531564937904477
Jobs_1of2.zip,27,344132979,328.1907835006714,0.3204988120123744
Means_of_Transportation_1of2.zip,18,407471580,388.5951805114746,0.3794874809682369
Means_of_Transportation_2of2.zip,20,395755541,377.42189502716064,0.36857606936246157
People_1of5.zip,18,234396084,223.53752517700195,0.21829836443066597
People_2of5.zip,19,249962312,238.38263702392578,0.23279554396867752
People_4of5.zip,37,473022712,451.10961151123047,0.440536729991436
Places_1of4.zip,18,240708848,229.55784606933594,0.22417758405208588
Places_2of4.zip,18,262319052,250.16694259643555,0.2443036548793316
Places_3of4.zip,18,213259380,203.3799934387207,0.1986132748425007
Places_4of4.zip,18,216731716,206.69147109985352,0.2018471397459507
Pronouns_1of2.zip,39,508715344,485.1487579345703,0.4737780839204788
Pronouns_2of2.zip,19,300618576,286.6922149658203,0.2799728661775589
Seasons_1of1.zip,27,344446485,328.48976612091064,0.3207907872274518
