video_path,archive,archive_url
Adjectives/78. long/MVI_5106.MOV,Adjectives_4of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_4of8.zip/content
Adjectives/78. long/MVI_5107.MOV,Adjectives_4of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_4of8.zip/content
Adjectives/78. long/MVI_5108.MOV,Adjectives_4of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_4of8.zip/content
Adjectives/78. long/MVI_5186.MOV,Adjectives_4of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_4of8.zip/content
Adjectives/78. long/MVI_5187.MOV,Adjectives_4of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_4of8.zip/content
Adjectives/78. long/MVI_5188.MOV,Adjectives_4of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_4of8.zip/content
Adjectives/78. long/MVI_5266.MOV,Adjectives_4of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_4of8.zip/content
Adjectives/78. long/MVI_5268.MOV,Adjectives_4of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_4of8.zip/content
Adjectives/78. long/MVI_9217.MOV,Adjectives_4of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_4of8.zip/content
Adjectives/78. long/MVI_9218.MOV,Adjectives_4of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_4of8.zip/content
Adjectives/78. long/MVI_9219.MOV,Adjectives_4of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_4of8.zip/content
Adjectives/78. long/MVI_9298.MOV,Adjectives_4of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_4of8.zip/content
Adjectives/78. long/MVI_9299.MOV,Adjectives_4of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_4of8.zip/content
Adjectives/78. long/MVI_9300.MOV,Adjectives_4of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_4of8.zip/content
Adjectives/78. long/MVI_9377.MOV,Adjectives_4of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_4of8.zip/content
Adjectives/78. long/MVI_9378.MOV,Adjectives_4of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_4of8.zip/content
Adjectives/78. long/MVI_9379.MOV,Adjectives_4of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_4of8.zip/content
