parent_label,label,video_path,include_50,archive,archive_url,split
Animals,1. Dog,Animals/1. Dog/MVI_3060.MOV,True,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,train
Animals,1. Dog,Animals/1. Dog/MVI_3059.MOV,True,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,train
Animals,1. Dog,Animals/1. Dog/MVI_3085.MOV,True,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,train
Animals,1. Dog,Animals/1. Dog/MVI_3030.MOV,True,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,train
Animals,1. Dog,Animals/1. Dog/MVI_4146.MOV,True,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,train
Animals,1. Dog,Animals/1. Dog/MVI_2978.MOV,True,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,train
Animals,1. Dog,Animals/1. Dog/MVI_3061.MOV,True,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,train
Animals,1. Dog,Animals/1. Dog/MVI_3029.MOV,True,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,train
Animals,1. Dog,Animals/1. Dog/MVI_3086.MOV,True,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,train
Animals,1. Dog,Animals/1. Dog/MVI_3087.MOV,True,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,train
Animals,1. Dog,Animals/1. Dog/MVI_2979.MOV,True,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,val
Animals,1. Dog,Animals/1. Dog/MVI_3002.MOV,True,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,val
Animals,1. Dog,Animals/1. Dog/MVI_2980.MOV,True,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,val
Adjectives,1. loud,Adjectives/1. loud/MVI_9448.MOV,True,Adjectives_1of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_1of8.zip/content,train
Adjectives,1. loud,Adjectives/1. loud/MVI_5335.MOV,True,Adjectives_1of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_1of8.zip/content,train
Adjectives,1. loud,Adjectives/1. loud/MVI_9535.MOV,True,Adjectives_1of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_1of8.zip/content,train
